name,company,role,email,phone,linkedin,industry,location,stage,score,notes,created_at
rajesh,Global Shipping And Logistics,Senior Logistic ,rajeshthangaraj1@gmail.com,+971 4 885 1566,,Logistics,"Dubai, United Arab Emirates",New,5,,2026-04-04 12:05:41
,Emirates Logistics,,,+971 4 337 7177,,Logistics,"Dubai, United Arab Emirates",new,5,,2026-04-04 12:05:41
,G&P Logistics,,,+971 42203040,,Logistics,"Dubai, United Arab Emirates",new,5,,2026-04-04 12:05:41
,Sag Logistic Services,,,+971 4 349 4262,,Logistics,"Dubai, United Arab Emirates",new,5,,2026-04-04 12:05:41
,Alfares Cargo,,,+971 50 725 9940,,Logistics,"Dubai, United Arab Emirates",new,5,,2026-04-04 12:05:41
,Adso Logistics,,,+971 4 886 0404,,Logistics,"Dubai, United Arab Emirates",new,5,,2026-04-04 12:05:41
,Inbox Storage Dubai,,,04 323 2766,,Logistics,"
Gate 15 - Warehouse # 23 18Th Street - Al Quoz 1 - دبي",new,4,,2026-04-04 12:05:41
,Procharter,,,04 323 2766,,Logistics,"
Office 208, Jumeirah Bay X2 - Cluster X - الثنيه الخامسة - أبراج بحيرات الجميرا - دبي",new,4,,2026-04-04 12:05:41
,'Tre'Log Llc-Shipping Freight & Projects.Dubai.Uae,,,04 323 2766,,Logistics,"
Airport Fz Metro - الطوار الخامسة - دبي",new,4,,2026-04-04 12:05:41
,Union Logistics Fze,,,04 323 2766,,Logistics,"
W40 C - مطار دبي الدولي - Dubai Airport Free Zone - دبي",new,4,,2026-04-04 12:05:41
,Action Logistics Fze,,,04 323 2766,,Logistics,"
Warehouse Number G22 - Dubai Airport Free Zone - دبي",new,4,,2026-04-04 12:05:41
,Top Most Freight Solutions L.L.C,,,04 323 2766,,Logistics,"
Cross Before Tasjeel Centre - 24 B Street, Warehouse No 7 Dubai Real Estate Corporation - Warehouse Complex شارع بيروت - القصيص الصناعية الخامسة - دبي",new,4,,2026-04-04 12:05:41
,Total Freight International,,,04 323 2766,,Logistics,"
Warehouse 1250, Cargo & Logistics Building A, Dubai Cargo Village - دبي",new,4,,2026-04-04 12:05:41
,Apl Global Logistics Import & Export Dubai,,,04 323 2766,,Logistics,"
Warehouse No. D-26 Dafza - Dubai Airport Free Zone - دبي",new,4,,2026-04-04 12:05:41
,Eco Wide Line & Shipping,,,050 215 1812,,,"
Al Nokhitha Building - Offc 328 - شارع الخليج - ديرة - دبي",new,4,,2026-04-04 12:05:41
,Global Hub Customs Services,,,050 215 1812,,,"
Sheikha Noora Tower - 5Th Floor No.507 - Seasons Street - الثنيه الأولى - Barsha Heights - دبي",new,4,,2026-04-04 12:05:41
,Org Logistics Fze,,,050 215 1812,,,"
E04 Al Quds St - مطار دبي الدولي - Dubai Airport Free Zone - دبي",new,4,,2026-04-04 12:05:41
